chroma_stft,rms,spectral_centroid,spectral_bandwith,rollof,zero_crossing_rate,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,mfcc20,label
0.4702204,0.010514933,2229.6188700112575,2212.478353619975,4728.6814371744795,0.1272876880787037,-316.085,95.89804,-20.737608,18.251554,-14.544909,12.840728,-13.654649,6.2750306,-17.093609,14.173301,-6.3704877,6.888685,-4.856552,4.437925,-5.372807,5.02677,-7.4738965,3.3450193,-5.4217706,-1.2583765,Sin-Bandera-Ahora-Se
0.48771498,0.01214263,2282.520937997561,2296.8601337606488,4778.2277425130205,0.12830494068287038,-276.70367,104.084526,-23.456701,18.960892,-13.495668,12.742045,-13.827803,6.5335054,-16.926546,14.943811,-7.0832176,7.234869,-6.3322086,4.6486487,-6.025703,4.924799,-8.036901,3.1286168,-5.349535,-0.35667914,Sin-Bandera-Ahora-Se
0.4732149,0.0129635045,2203.7703308739488,2252.363287596987,4548.490397135417,0.1206958912037037,-273.59216,106.804634,-25.299326,18.184649,-12.075294,11.443715,-14.418957,5.3855762,-16.44831,15.011254,-6.4521823,7.255765,-7.206422,5.3616943,-5.5121217,4.717982,-8.407723,1.8223029,-6.127297,0.3590443,Sin-Bandera-Ahora-Se
0.47145087,0.012506972,2257.959746117497,2308.122692466889,4747.871907552083,0.11980749059606481,-279.50717,103.34474,-22.169044,20.492018,-10.986006,12.551609,-13.372595,6.0048575,-15.357544,14.839788,-6.175707,8.506863,-6.5672364,4.7776666,-5.5314217,5.079188,-6.9228992,2.9043899,-5.699365,0.35760477,Sin-Bandera-Ahora-Se
0.4781727,0.011148296,2261.724715500675,2347.969295502542,4817.555745442708,0.11713324652777778,-294.3285,102.11475,-20.67982,19.223986,-8.491451,11.783293,-12.602521,6.912055,-14.229873,15.660223,-4.1967754,10.4192705,-5.6401906,4.2151685,-5.5452304,4.836811,-6.750918,3.7724671,-5.027213,1.409667,Sin-Bandera-Ahora-Se
0.47419333,0.0096596945,2226.5552428179026,2374.374768982048,4831.711832682292,0.10839617693865741,-316.01187,102.516075,-18.478298,18.766462,-6.0528035,10.96016,-12.42819,8.114939,-13.727844,16.265654,-2.8172474,10.790801,-3.7636182,5.0599217,-4.3965907,5.4407296,-5.5734105,5.481406,-3.1241262,3.6229832,Sin-Bandera-Ahora-Se
0.4945755,0.007695889,2260.5185020311746,2416.200032981441,4963.2537841796875,0.10831479673032407,-332.62506,100.33288,-17.534065,19.300207,-5.0344977,10.36405,-12.253468,8.960386,-12.966698,16.876827,-2.1776273,12.222368,-2.608888,6.2745533,-3.2078943,7.0633965,-4.891382,6.108523,-3.92224,4.478073,Sin-Bandera-Ahora-Se
0.49869555,0.006462284,2255.464454604079,2453.142377028424,5001.983642578125,0.1044040256076389,-347.65417,100.04028,-15.972256,17.667128,-3.4159179,9.48973,-11.123208,10.375832,-11.6823225,18.043678,-2.0142221,13.475624,-1.6668388,6.644437,-3.3121731,7.368795,-4.0577846,7.8060417,-3.5804875,5.7865667,Sin-Bandera-Ahora-Se
0.47863224,0.0060889386,2191.7745789414057,2429.5872338511595,4811.773681640625,0.10054524739583333,-354.44174,102.846375,-17.963573,14.329445,-1.5778029,7.815027,-12.893476,10.56377,-11.666215,18.755236,-1.6666499,14.205117,-1.3064164,7.9068236,-3.4248657,7.5971065,-4.5481844,7.975693,-4.464579,7.293241,Sin-Bandera-Ahora-Se
0.47847146,0.0062800227,2146.596711275406,2377.26345610438,4644.293212890625,0.09904423466435185,-353.94553,105.87867,-20.869926,13.851701,-2.9642353,7.8613243,-12.705805,11.729368,-11.740465,20.371931,-2.4856684,13.916245,-1.2979829,8.581298,-3.2994595,9.046999,-4.0399528,9.600781,-4.0319195,8.2883835,Sin-Bandera-Ahora-Se
